ID,Sección,SubID,Pregunta,Respuesta
1,Información General,1.0,1. Información General,
2,Plan de Estudios,2.0,2. Plan de Estudios,
3,Perfil del Egresado y Salida Laboral,3.0,3. Perfil del Egresado y Salida Laboral,
4,Aranceles y Becas,4.0,4. Aranceles y Becas,
5,Ingreso y Requisitos,5.0,5. Ingreso y Requisitos,
6,Experiencia Académica y Recursos,6.0,6. Experiencia Académica y Recursos,
1,Información General,1.1,1.1 ¿Cuál es la duración total de la carrera?,La carrera tiene una duración total de 3 años (5 cuatrimestres).
1,Información General,1.2,1.2 ¿Qué título se obtiene al finalizar la tecnicatura?,Se obtiene el título de Técnico Universitario en Desarrollo de Software.
1,Información General,1.3,1.3 ¿En qué sedes de UADE se puede cursar esta carrera?,Puede cursarse en el Campus Buenos Aires (CABA) y Campus Costa Argentina (Pinamar).
1,Información General,1.4,1.4 ¿La modalidad de cursada es presencial o hay opciones a distancia?,"La modalidad es presencial, con opción flexible en el Campus Costa Argentina."
1,Información General,1.5,1.5 ¿La tecnicatura permite continuar estudios hacia una carrera de grado?,"Sí, permite continuar hacia carreras de grado como Licenciatura en Sistemas o Ingeniería en Informática."
2,Plan de Estudios,2.1,2.1 ¿Cuántas materias incluye el plan de estudios?,El plan incluye 22 asignaturas en total.
2,Plan de Estudios,2.2,2.2 ¿Qué asignaturas se cursan en el primer año?,"Primer año: Introducción a la Algoritmia, Sistemas de Información I y II, Arquitectura de Computadores, Diseño y Desarrollo Web, Algoritmos y Estructuras de Datos I, Sistemas Operativos, Testing de Aplicaciones."
2,Plan de Estudios,2.3,2.3 ¿Existen materias optativas? ¿Cuántas y de qué tipo?,"Sí, existen 3 materias optativas relacionadas con tecnologías o lenguajes específicos."
2,Plan de Estudios,2.4,2.4 ¿Qué tipo de trabajo final se requiere para egresar?,Se requiere un Trabajo Integrador Final basado en un proyecto práctico.
2,Plan de Estudios,2.5,"2.5 ¿Qué áreas de conocimiento abarca la carrera (programación, bases de datos, redes, etc.)?","Incluye programación, bases de datos, redes, sistemas operativos, testing, desarrollo web, y gestión de proyectos."
3,Perfil del Egresado y Salida Laboral,3.1,3.1 ¿En qué roles puede desempeñarse un egresado de esta tecnicatura?,"El egresado puede trabajar como desarrollador, tester, analista, administrador de bases de datos o especialista en redes."
3,Perfil del Egresado y Salida Laboral,3.2,3.2 ¿Qué tipo de empresas suelen contratar a estos profesionales?,"Empresas tecnológicas nacionales e internacionales, y organizaciones con necesidades informáticas internas."
3,Perfil del Egresado y Salida Laboral,3.3,3.3 ¿La carrera incluye certificaciones reconocidas en el mercado?,No se especifica que incluya certificaciones reconocidas oficialmente.
3,Perfil del Egresado y Salida Laboral,3.4,3.4 ¿Qué habilidades prácticas se desarrollan durante la cursada?,"Se desarrollan habilidades en programación, testing, bases de datos, redes, y metodologías ágiles."
3,Perfil del Egresado y Salida Laboral,3.5,3.5 ¿Se ofrecen oportunidades de pasantías o prácticas profesionales?,"Sí, UADE ofrece un sistema de pasantías profesionales."
4,Aranceles y Becas,4.1,4.1 ¿Cuál es el costo mensual por materia?,El costo mensual por materia es de aproximadamente 72.918 ARS.
4,Aranceles y Becas,4.2,4.2 ¿Existen paquetes de materias con descuentos?,"Sí, hay paquetes de 4 materias desde 277.083 ARS mensuales."
4,Aranceles y Becas,4.3,4.3 ¿UADE ofrece becas o ayudas económicas para esta carrera?,"Sí, se ofrece una beca del 10% sobre aranceles por ciclo lectivo."
4,Aranceles y Becas,4.4,"4.4 ¿Cómo se abonan los aranceles (mensual, cuatrimestral, etc.)?",Los aranceles se abonan mensualmente.
4,Aranceles y Becas,4.5,4.5 ¿Hay costos adicionales por materiales o laboratorios?,No se especifican costos adicionales por materiales o laboratorios.
5,Ingreso y Requisitos,5.1,5.1 ¿Qué documentación se necesita para inscribirse?,"Se necesita DNI, foto 4x4 digital, constancia de estudios secundarios, y pago del derecho de admisión."
5,Ingreso y Requisitos,5.2,5.2 ¿Es necesario rendir algún examen de ingreso?,"No, no es necesario rendir un examen de ingreso."
5,Ingreso y Requisitos,5.3,5.3 ¿Se puede presentar equivalencias de materias aprobadas en otras instituciones?,"Sí, pueden presentarse equivalencias de otras instituciones."
5,Ingreso y Requisitos,5.4,5.4 ¿Cuál es el proceso de admisión paso a paso?,"El proceso incluye: inscripción online, envío de documentación, pago del derecho de admisión, y confirmación."
5,Ingreso y Requisitos,5.5,5.5 ¿Hay fechas límite para la inscripción?,"No se indican fechas límite específicas, se recomienda consultar directamente."
6,Experiencia Académica y Recursos,6.1,6.1 ¿Quién es el director o responsable de la carrera?,Esclante Leiva Ezequiel Ramiro.
6,Experiencia Académica y Recursos,6.2,6.2 ¿Qué laboratorios o espacios prácticos ofrece UADE para esta tecnicatura?,"UADE ofrece laboratorios prácticos, aunque no se especifican detalles."
6,Experiencia Académica y Recursos,6.3,6.3 ¿Se utilizan plataformas o herramientas específicas durante la cursada?,"Sí, se utilizan herramientas y plataformas digitales, especialmente para programación y testing."
6,Experiencia Académica y Recursos,6.4,6.4 ¿Qué opinan los estudiantes actuales o egresados sobre la carrera?,"Las opiniones son generalmente positivas, destacando la preparación práctica y el enfoque laboral."
6,Experiencia Académica y Recursos,6.5,6.5 ¿UADE tiene convenios con empresas del sector tecnológico?,"Sí, UADE tiene convenios con empresas del sector tecnológico para prácticas y empleo."